"","n","n_1996","n_2002","n_2008","conso_5_1996","conso_5_2002","conso_5_2008","conso_5_all_years","contrainte_foyer","contrainte_budget","contrainte_temps"
"1_1_1",461,74,101,286,0,0.0198019801980198,0.041958041958042,0.0303687635574837,0.558208955223881,0.540229885057471,0.456647398843931
"1_1_2",305,64,86,155,0.09375,0.0232558139534884,0.0516129032258065,0.0524590163934426,0.637837837837838,0.587155963302752,0.548387096774194
"1_1_3",139,25,46,68,0.04,0.0652173913043478,0.0735294117647059,0.0647482014388489,0.705128205128205,0.563636363636364,0.596330275229358
"1_1_NA",8,3,2,3,0.333333333333333,0,0,0.125,0.714285714285714,0.75,0.375
"1_2_1",782,186,241,355,0.0483870967741935,0.0497925311203319,0.0816901408450704,0.0639386189258312,0.64,0.586092715231788,0.432885906040268
"1_2_2",422,75,122,225,0.04,0.0737704918032787,0.111111111111111,0.0876777251184834,0.829710144927536,0.475644699140401,0.492795389048991
"1_2_3",364,66,118,180,0.136363636363636,0.0593220338983051,0.166666666666667,0.126373626373626,0.825726141078838,0.434920634920635,0.619047619047619
"1_2_NA",24,9,6,9,0.111111111111111,0.333333333333333,0,0.125,0.789473684210526,0.380952380952381,0.523809523809524
"1_3_1",318,74,95,149,0.0810810810810811,0.147368421052632,0.174496644295302,0.144654088050314,0.566502463054187,0.520661157024793,0.264705882352941
"1_3_2",85,8,31,46,0.25,0.032258064516129,0.239130434782609,0.164705882352941,0.862745098039216,0.426470588235294,0.373134328358209
"1_3_3",80,18,28,34,0.166666666666667,0.178571428571429,0.205882352941176,0.1875,0.928571428571429,0.279411764705882,0.522388059701492
"1_3_NA",13,4,3,6,0,0,0.5,0.230769230769231,0.7,0.5,0.3
"2_1_1",440,86,109,245,0.0581395348837209,0.036697247706422,0.0693877551020408,0.0590909090909091,0.704477611940298,0.655172413793103,0.544668587896254
"2_1_2",401,88,122,191,0.0227272727272727,0.040983606557377,0.0890052356020942,0.0598503740648379,0.737827715355805,0.662420382165605,0.617834394904459
"2_1_3",224,46,57,121,0,0.105263157894737,0.0578512396694215,0.0580357142857143,0.84375,0.709497206703911,0.752808988764045
"2_1_NA",11,3,6,2,0.333333333333333,0.166666666666667,0,0.181818181818182,0.666666666666667,0.8,0.7
"2_2_1",955,245,341,369,0.106122448979592,0.134897360703812,0.105691056910569,0.116230366492147,0.760162601626016,0.725146198830409,0.57093023255814
"2_2_2",592,112,178,302,0.0892857142857143,0.146067415730337,0.119205298013245,0.121621621621622,0.820128479657388,0.653429602888087,0.66304347826087
"2_2_3",419,84,124,211,0.178571428571429,0.145161290322581,0.170616113744076,0.164677804295943,0.833855799373041,0.595907928388747,0.736572890025575
"2_2_NA",39,21,8,10,0.19047619047619,0,0.1,0.128205128205128,0.875,0.722222222222222,0.527777777777778
"2_3_1",604,128,235,241,0.1015625,0.2,0.219917012448133,0.187086092715232,0.6875,0.722996515679443,0.344947735191638
"2_3_2",154,21,46,87,0.19047619047619,0.260869565217391,0.310344827586207,0.279220779220779,0.741935483870968,0.697986577181208,0.513333333333333
"2_3_3",66,9,17,40,0.555555555555556,0.235294117647059,0.3,0.318181818181818,0.8,0.615384615384615,0.646153846153846
"2_3_NA",25,9,10,6,0.111111111111111,0.2,0.333333333333333,0.2,0.65,0.44,0.25
"NA_NA_NA",16,74,101,286,0,0.0198019801980198,0.041958041958042,NA,NA,NA,NA
